,Middle Layer Super Output Areas Code,Middle Layer Super Output Areas Label,Marital and civil partnership status (12 categories) Code,Marital and civil partnership status (12 categories) Label,Count
82620,W02000030,Conwy 004,-8,Does not apply,780
82621,W02000030,Conwy 004,1,Never married and never registered a civil partnership,1322
82622,W02000030,Conwy 004,2,Married: Opposite sex,2442
82623,W02000030,Conwy 004,3,Married: Same sex,16
82624,W02000030,Conwy 004,4,In a registered civil partnership: Opposite sex,0
82625,W02000030,Conwy 004,5,In a registered civil partnership: Same sex,8
82626,W02000030,Conwy 004,6,"Separated, but still married",110
82627,W02000030,Conwy 004,7,"Separated, but still in a registered civil partnership",1
82628,W02000030,Conwy 004,8,Divorced,606
82629,W02000030,Conwy 004,9,Formerly in a civil partnership now legally dissolved,1
82630,W02000030,Conwy 004,10,Widowed,598
82631,W02000030,Conwy 004,11,Surviving partner from civil partnership,0
82632,W02000031,Conwy 005,-8,Does not apply,1320
82633,W02000031,Conwy 005,1,Never married and never registered a civil partnership,2204
82634,W02000031,Conwy 005,2,Married: Opposite sex,3086
82635,W02000031,Conwy 005,3,Married: Same sex,19
82636,W02000031,Conwy 005,4,In a registered civil partnership: Opposite sex,4
82637,W02000031,Conwy 005,5,In a registered civil partnership: Same sex,10
82638,W02000031,Conwy 005,6,"Separated, but still married",175
82639,W02000031,Conwy 005,7,"Separated, but still in a registered civil partnership",0
82640,W02000031,Conwy 005,8,Divorced,717
82641,W02000031,Conwy 005,9,Formerly in a civil partnership now legally dissolved,1
82642,W02000031,Conwy 005,10,Widowed,636
82643,W02000031,Conwy 005,11,Surviving partner from civil partnership,0
82644,W02000032,Conwy 006,-8,Does not apply,1291
82645,W02000032,Conwy 006,1,Never married and never registered a civil partnership,1956
82646,W02000032,Conwy 006,2,Married: Opposite sex,3534
82647,W02000032,Conwy 006,3,Married: Same sex,20
82648,W02000032,Conwy 006,4,In a registered civil partnership: Opposite sex,2
82649,W02000032,Conwy 006,5,In a registered civil partnership: Same sex,7
82650,W02000032,Conwy 006,6,"Separated, but still married",123
82651,W02000032,Conwy 006,7,"Separated, but still in a registered civil partnership",2
82652,W02000032,Conwy 006,8,Divorced,765
82653,W02000032,Conwy 006,9,Formerly in a civil partnership now legally dissolved,1
82654,W02000032,Conwy 006,10,Widowed,683
82655,W02000032,Conwy 006,11,Surviving partner from civil partnership,2
82656,W02000033,Conwy 007,-8,Does not apply,1278
82657,W02000033,Conwy 007,1,Never married and never registered a civil partnership,2360
82658,W02000033,Conwy 007,2,Married: Opposite sex,1961
82659,W02000033,Conwy 007,3,Married: Same sex,5
82660,W02000033,Conwy 007,4,In a registered civil partnership: Opposite sex,0
82661,W02000033,Conwy 007,5,In a registered civil partnership: Same sex,6
82662,W02000033,Conwy 007,6,"Separated, but still married",179
82663,W02000033,Conwy 007,7,"Separated, but still in a registered civil partnership",0
82664,W02000033,Conwy 007,8,Divorced,744
82665,W02000033,Conwy 007,9,Formerly in a civil partnership now legally dissolved,1
82666,W02000033,Conwy 007,10,Widowed,418
82667,W02000033,Conwy 007,11,Surviving partner from civil partnership,0
82668,W02000034,Conwy 008,-8,Does not apply,1270
82669,W02000034,Conwy 008,1,Never married and never registered a civil partnership,2024
82670,W02000034,Conwy 008,2,Married: Opposite sex,3008
82671,W02000034,Conwy 008,3,Married: Same sex,20
82672,W02000034,Conwy 008,4,In a registered civil partnership: Opposite sex,2
82673,W02000034,Conwy 008,5,In a registered civil partnership: Same sex,8
82674,W02000034,Conwy 008,6,"Separated, but still married",137
82675,W02000034,Conwy 008,7,"Separated, but still in a registered civil partnership",1
82676,W02000034,Conwy 008,8,Divorced,712
